Workout Number,Workout,Description,Button Sequence,Type
213,3 x 5000m / 6 min easy,Row three 5000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
214,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
215,3 x 4000m rate change 22-24 / 5 min easy,Row three 4000 meter pieces. In each piece change the rate every 1000m. The first 1000m @ 22 spm. Then 1000m @ 24 spm. 1000m @ 22 and 1000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
216,3 x 4000m / 5 min easy,Row three 4000 meter pieces. Row for five minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
217,2 x 6000m rate increase 22-26 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 22 spm. Then 2000m @ 24 spm and 1000m @ 26. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
218,2 x 30 min / 2 min easy,Row two 30 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-A-C-A-A-A-A-B-B-E  ,Long
219,4 x 3000m / 4 min easy,Row four 3000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
220,5 x 10 min / 2 min easy,Row five 10 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-E  ,Long
221,2 x 6000m rate increase 24-28 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 24 spm. Then 2000m @ 26 spm and 1000m @ 28. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
222,3 x 21 min with rate increase / 4 min easy,"Row three 21 minute pieces. Row the first six minutes @ 20 spm. Then five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30. Row for four minutes at light pressure between each piece.",B-D-D-B-D-B-B-A-A-A-A-A-B-B-B-B-E  ,Long
223,3 x 20 min / 5 min easy,Row three 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
224,4 x 12 min with level change,Pre-set the monitor for a work time of 12:00 and a rest time of 4:00.Let your stroke rate vary as follows per interval:,,
225,"First interval: 5 minutes @20, 1 minute @24, 5 minutes @22, 1 minute @26 Second interval: 4 minutes @20, 2 minutes @24, 4 minutes @22, 2 minutes @26 Third interval: 3 minutes @20, 3 minutes @24, 3 minutes @22, 3 minutes @26 Fourth interval: 2 minutes @20, 4 minutes @24, 2 minutes @22, 4 minutes @26.",,,
226,During the rest time continue rowing at light pressure.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-B-E  ,Long, 
227,3 x 21 min with rate increase / 4 min easy,"Row three 21 minute pieces. Row the first six minutes @ 20 spm. Then five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30. Row for four minutes at light pressure between each piece.",B-D-D-B-D-B-B-A-A-A-A-A-B-B-B-B-E  ,Long
228,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
229,3 x 4000m / 5 min easy,Row three 4000 meter pieces. Row for five minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
230,2 x 6000m / 2 min easy,Row two 6000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
231,3 x 4000m rate change 22-24 / 5 min easy,Row three 4000 meter pieces. In each piece change the rate every 1000m. The first 1000m @ 22 spm. Then 1000m @ 24 spm. 1000m @ 22 and 1000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
232,2 x 20 min / 5 min easy,Row two 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
233,4 x 3000m / 4 min easy,Row four 3000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
234,2 x 6000m / 2 min easy,Row two 6000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
235,"42,195m (Marathon) time trial","Row a 42,195 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-B-E  ,Long
236,3 x 5000m / 6 min easy,Row three 5000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
237,5 x 3000m / 3 min easy,Row five 3000 meter pieces. Row for three minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
238,3 x 20 min / 5 min easy,Row three 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
239,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
240,6 x 2000m rate change 22-24 / 2 min easy,Row six 2000 meter pieces. In each piece change the rate every 500m. The first 500m @ 22 spm. Then 500m @ 24 spm. 500m @ 22 and 500m @ 24. Row for two minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
241,4 x 15 min with rate increase / 3 min easy,"Row four 15 minute pieces. Row the first five minutes of each @ 20 spm. Then four minutes @ 22 spm, three @ 24, two @ 26 and one @ 28. Row for three minutes at light pressure during the rest period.",B-D-D-B-D-B-A-B-B-B-B-A-A-A-A-B-B-B-E  ,Long
242,4 x 10 min with rate increase / 4 min easy,"Row four 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
243,60 minutes with rate changes every 5 minutes: 22-24-22-24,"Row a 60 minute piece at a sustainable intensity, varying your stroke rate as follows: row five minutes @ 22 spm, five minutes @ 24 spm, five minutes @ 22 spm and so on.",B-D-B-D-B-A-C-C-C-E  ,Long
244,5 x 12 min / 3 min easy,Row five 12 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-E  ,Long
245,5 x 2000m rate increase 20-26 / 2 min easy,"Row five 2000 meter pieces. In each piece the first 1000m @ 20 spm. Then 500m @ 22 spm, 250m @ 24 and 250m @ 26. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
246,5 x 2000m rate increase 22-28 / 2 min easy,"Row five 2000 meter pieces. In each piece, row the first 1000m @ 22 spm. Then 500m @ 24 spm, 250m @ 26 and 250m @ 28. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
247,6 x 2000m / 3 min easy,Row six 2000 meter pieces. Row for three minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
248,5 x 2000m rate increase 20-26 / 2 min easy,"Row five 2000 meter pieces. In each piece the first 1000m @ 20 spm. Then 500m @ 22 spm, 250m @ 24 and 250m @ 26. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
249,3 x 4000m rate change 22-24 / 5 min easy,Row three 4000 meter pieces. In each piece change the rate every 1000m. The first 1000m @ 22 spm. Then 1000m @ 24 spm. 1000m @ 22 and 1000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
250,5 x 10 min with rate increase / 4 min easy,"Row five 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
251,3 x 15 min with rate increase / 3 min easy,"Row three 15 minute pieces. Row the first five minutes of each @ 20 spm. Then four minutes @ 22 spm, three @ 24, two @ 26 and one @ 28. Row for three minutes at light pressure during the rest period.",B-D-D-B-D-B-A-B-B-B-B-A-A-A-A-B-B-B-E  ,Long
252,4 x 5000m / 3 min easy,Row four 5000 meter pieces. Row for three minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
253,3 x 6000m / 4 min easy,Row three 6000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
254,4 x 12 min / 3 min easy,Row four 12 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-E  ,Long
255,3 x 5000m / 6 min easy,Row three 5000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
256,3 x 21 min with rate increase / 4 min easy,"Row three 21 minute pieces. Row the first six minutes @ 20 spm. Then five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30. Row for four minutes at light pressure between each piece.",B-D-D-B-D-B-B-A-A-A-A-A-B-B-B-B-E  ,Long
257,4 x 3000m / 4 min easy,Row four 3000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
258,6 x 2000m rate increase 22-28 / 2 min easy,"Row six 2000 meter pieces. In each piece the first 1000m @ 22 spm. Then 500m @ 24 spm, 250m @ 26 and 250m @ 28. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
259,3 x 6000m / 4 min easy,Row three 6000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
260,2 x 20 min / 5 min easy,Row two 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
261,2 x 8000m rate change 22-24 / 5 min easy,Row two 8000 meter pieces. In each piece change the rate every 2000m. The first 2000m @ 22 spm. Then 2000m @ 24 spm. 2000m @ 22 and 2000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
262,5 x 10 min with rate increase / 4 min easy,"Row five 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
263,6 x 10 min / 2 min easy,Row six 10 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-E  ,Long
264,4 x 15 min with rate increase / 3 min easy,"Row four 15 minute pieces. Row the first five minutes of each @ 20 spm. Then four minutes @ 22 spm, three @ 24, two @ 26 and one @ 28. Row for three minutes at light pressure during the rest period.",B-D-D-B-D-B-A-B-B-B-B-A-A-A-A-B-B-B-E  ,Long
265,6 x 2000m rate increase 22-28 / 2 min easy,"Row six 2000 meter pieces. In each piece the first 1000m @ 22 spm. Then 500m @ 24 spm, 250m @ 26 and 250m @ 28. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
266,4-6-8-10-8-6-4 min pyramid / 2 min easy,"Pre-set the monitor for 60 minutes. Row seven intervals in a pyramid of 4-6-8-10-8-6-4, with two minutes at light pressure after each interval. A four minute piece, then two light, a six minute piece, two light and so on.",B-D-D-D-D-B-B-B-A-A-A-A-B-B-E-D-B-B-E-D-B-B-E-D-D-B-A-B-B-E-D-C-C-D-C-E-D-C-C-E-D-C-C-E-E  ,Long
267,2 x 6000m rate increase 22-26 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 22 spm. Then 2000m @ 24 spm and 1000m @ 26. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
268,2 x 8000m rate change 22-24 / 5 min easy,Row two 8000 meter pieces. In each piece change the rate every 2000m. The first 2000m @ 22 spm. Then 2000m @ 24 spm. 2000m @ 22 and 2000m @ 24. Row for five minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
269,3 x 6000m / 4 min easy,Row three 6000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
270,3 x 6000m / 4 min easy,Row three 6000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
271,3 x 4000m / 5 min easy,Row three 4000 meter pieces. Row for five minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
272,60 minute time trial,"Row a 60 minute time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-D-B-D-B-A-C-C-C-E  ,Long
273,5 x 2000m rate increase 22-28 / 2 min easy,"Row five 2000 meter pieces. In each piece, row the first 1000m @ 22 spm. Then 500m @ 24 spm, 250m @ 26 and 250m @ 28. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
274,4 x 10 min with rate increase / 4 min easy,"Row four 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
275,2 x 6000m rate increase 24-28 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 24 spm. Then 2000m @ 26 spm and 1000m @ 28. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
276,"2 x 10,000m / 2 min easy","Row two 10,000 meter pieces. Row for two minutes at light pressure between each piece.",B-D-D-D-C-D-D-B-A-A-C-C-C-C-C-A-A-A-A-B-B-E-C-A-A-A-A-C-C-E-E  ,Long
277,3 x 4000m / 5 min easy,Row three 4000 meter pieces. Row for five minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-E  ,Long
278,2 x 6000m rate increase 22-26 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 22 spm. Then 2000m @ 24 spm and 1000m @ 26. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
279,2 x 6000m rate increase 22-26 / 4 min easy,Row two 6000 meter pieces. In each piece the first 3000m @ 22 spm. Then 2000m @ 24 spm and 1000m @ 26. Row for four minutes at light pressure during the rest period.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
280,4 x 12 min / 3 min easy,Row four 12 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-E  ,Long
281,6 x 2000m rate increase 20-26 / 2 min easy,"Row six 2000 meter pieces. In each piece the first 1000m @ 20 spm. Then 500m @ 22 spm, 250m @ 24 and 250m @ 26. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
282,5 x 10 min with rate increase / 4 min easy,"Row five 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
283,2 x 20 min / 5 min easy,Row two 20 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
284,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
285,4 x 10 min with rate increase / 4 min easy,"Row four 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
286,60 minutes with rate changes every 5 minutes: 22-24-22-24,"Row a 60 minute piece at a sustainable intensity, varying your stroke rate as follows: row five minutes @ 22 spm, five minutes @ 24 spm, five minutes @ 22 spm and so on.",B-D-B-D-B-A-C-C-C-E  ,Long
287,5 x 10 min / 2 min easy,Row five 10 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-E  ,Long
288,"42,195m (Marathon) time trial","Row a 42,195 meter time trial, going for your personal best. After you've rowed, enter your time in the Online Ranking and see where you stand with others of your age, gender and weight class.",B-B-E  ,Long
289,6 x 2000m rate increase 20-26 / 2 min easy,"Row six 2000 meter pieces. In each piece the first 1000m @ 20 spm. Then 500m @ 22 spm, 250m @ 24 and 250m @ 26. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
290,5 x 2000m / 2 min easy,Row five 2000 meter pieces. Row for two minutes at light pressure between each 2000.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
291,5 x 12 min / 3 min easy,Row five 12 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-E  ,Long
292,4 x 12 min / 3 min easy,Row four 12 minute pieces. Row for three minutes at light pressure between each piece.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-E  ,Long
293,2 x 30 min / 2 min easy,Row two 30 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-A-C-A-A-A-A-B-B-E  ,Long
294,5 x 2000m rate change 24-26 / 2 min easy,Row five 2000 meter pieces. In each piece change the rate every 500m. The first 500m @ 24 spm. Then 500m @ 26 spm. 500m @ 24 and 500m @ 26. Row for two minutes at light pressure during the rest period.,B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
295,4 x 10 min / 2 min easy,Row four 10 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-A-C-A-A-A-A-B-B-E  ,Long
296,5 x 2000m rate increase 20-26 / 2 min easy,"Row five 2000 meter pieces. In each piece the first 1000m @ 20 spm. Then 500m @ 22 spm, 250m @ 24 and 250m @ 26. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
297,5 x 2000m rate increase 22-28 / 2 min easy,"Row five 2000 meter pieces. In each piece, row the first 1000m @ 22 spm. Then 500m @ 24 spm, 250m @ 26 and 250m @ 28. Row for two minutes at light pressure during the rest period.",B-D-D-A-D-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
298,2 x 6000m / 2 min easy,Row two 6000 meter pieces. Row for two minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-E  ,Long
299,3 x 15 min with rate increase / 3 min easy,"Row three 15 minute pieces. Row the first five minutes of each @ 20 spm. Then four minutes @ 22 spm, three @ 24, two @ 26 and one @ 28. Row for three minutes at light pressure during the rest period.",B-D-D-B-D-B-A-B-B-B-B-A-A-A-A-B-B-B-E  ,Long
300,2 x 40 min / 5 min easy,Row two 40 minute pieces. Row for five minutes at light pressure between each piece.,B-D-D-B-D-B-B-B-B-A-C-A-A-A-A-B-B-B-B-B-E  ,Long
301,2 x 21 min with rate increase / 4 min easy,"Row two 21 minute pieces. Row the first six minutes @ 20 spm. Then five minutes @ 22 spm, four @ 24, three @ 26, two @ 28 and one @ 30. Row for four minutes at light pressure between each piece.",B-D-D-B-D-B-B-A-A-A-A-A-B-B-B-B-E  ,Long
302,2 x 6000m / 6 min easy,Row two 6000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
303,"2 x 10,000m / 6 min easy","Row two 10,000 meter pieces. Row for six minutes at light pressure between each piece.",B-D-D-D-C-D-D-B-A-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E-C-A-A-A-A-C-C-C-C-C-C-E-E  ,Long
304,3 x 5000m with rate changes every 1000m: 24-22-24-26-24 / 3 min easy,"Row three 5000m pieces at a sustainable intensity, varying your stroke rate in each piece as follows: row 1000 meters @ 24 spm, 1000 meters @ 22 spm, 1000 meters @ 24 spm, 1000 meters @ 26 spm, and 1000 meters @ 24 spm. Row for two minutes at light pressure between each piece.",B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-E  ,Long
305,4 x 3000m / 4 min easy,Row four 3000 meter pieces. Row for four minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-E  ,Long
306,3 x 5000m / 6 min easy,Row three 5000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
307,"2 x 10,000m / 6 min easy","Row two 10,000 meter pieces. Row for six minutes at light pressure between each piece.",B-D-D-D-C-D-D-B-A-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E-C-A-A-A-A-C-C-C-C-C-C-E-E  ,Long
308,3 x 20 min / 2 min easy,Row three 20 minute pieces. Row for two minutes at light pressure between each piece.,B-D-D-B-D-B-B-A-C-A-A-A-A-B-B-E  ,Long
309,4 x 10 min with rate increase / 4 min easy,"Row four 10 minute pieces. Row the first four minutes of each @ 22 spm. Then three minutes @ 24 spm, two @ 26 and one @ 28. Row for four minutes at light pressure during the rest period.",B-D-D-B-D-B-A-C-A-A-A-A-B-B-B-B-E  ,Long
310,4 x 12 min with level change,Pre-set the monitor for a work time of 12:00 and a rest time of 4:00.Let your stroke rate vary as follows per interval:,,
311,"First interval: 5 minutes @20, 1 minute @24, 5 minutes @22, 1 minute @26 Second interval: 4 minutes @20, 2 minutes @24, 4 minutes @22, 2 minutes @26 Third interval: 3 minutes @20, 3 minutes @24, 3 minutes @22, 3 minutes @26 Fourth interval: 2 minutes @20, 4 minutes @24, 2 minutes @22, 4 minutes @26.",,,
312,During the rest time continue rowing at light pressure.,B-D-D-B-D-B-A-B-A-A-A-A-B-B-B-B-E  ,Long, 
313,2 x 6000m / 6 min easy,Row two 6000 meter pieces. Row for six minutes at light pressure between each piece.,B-D-D-A-D-B-B-B-B-B-B-A-C-C-C-C-C-A-A-A-A-B-B-B-B-B-B-E  ,Long
